nodes,model,row_id,row_label,budget_mib,total_ms,recorded_ms,stat,arm_variant,impl,capsule,cell_id,branch,git_sha,flag
4,Qwen,nvshmem_gemm,NVSHMEM a2av + GEMM,1,5.141,5.14,iter_max_mean,l01_nvshmem,nvshmem,20260831-051354_perlmutter_cbb29e30,l01_nvshmem_trace-a2e8ab_b1_k8_isolated,main,e270e40ec,
4,Qwen,nvshmem_gemm,NVSHMEM a2av + GEMM,2,6.942,6.94,iter_max_mean,l01_nvshmem,nvshmem,20260831-051354_perlmutter_cbb29e30,l01_nvshmem_trace-a2e8ab_b2_k8_isolated,main,e270e40ec,
4,Qwen,nvshmem_gemm,NVSHMEM a2av + GEMM,4,12.050,12.05,iter_max_mean,l01_nvshmem,nvshmem,20260831-051354_perlmutter_cbb29e30,l01_nvshmem_trace-a2e8ab_b4_k8_isolated,main,e270e40ec,
4,Qwen,nvshmem_gemm,NVSHMEM a2av + GEMM,16,40.170,40.17,iter_max_mean,l01_nvshmem,nvshmem,20260831-051354_perlmutter_cbb29e30,l01_nvshmem_trace-a2e8ab_b16_k8_isolated,main,e270e40ec,
4,Qwen,nvshmem_gemm,NVSHMEM a2av + GEMM,64,153.319,153.32,iter_max_mean,l01_nvshmem,nvshmem,20260831-051354_perlmutter_cbb29e30,l01_nvshmem_trace-a2e8ab_b64_k8_isolated,main,e270e40ec,
4,Qwen,fast_gemm,FAST + GEMM,1,10.017,10.02,iter_max_median,l01_fast,fast,20260829-134015_perlmutter_5f0fd9fb,l01_fast_trace-a2e8ab_b1_k8_e2e,fast-split,7b68b1329,
4,Qwen,fast_gemm,FAST + GEMM,2,13.007,13.01,iter_max_median,l01_fast,fast,20260829-134015_perlmutter_5f0fd9fb,l01_fast_trace-a2e8ab_b2_k8_e2e,fast-split,7b68b1329,
4,Qwen,fast_gemm,FAST + GEMM,4,15.922,15.92,iter_max_median,l01_fast,fast,20260829-134015_perlmutter_5f0fd9fb,l01_fast_trace-a2e8ab_b4_k8_e2e,fast-split,7b68b1329,
4,Qwen,fast_gemm,FAST + GEMM,16,38.586,38.59,iter_max_median,l01_fast,fast,20260829-134015_perlmutter_5f0fd9fb,l01_fast_trace-a2e8ab_b16_k8_e2e,fast-split,7b68b1329,
4,Qwen,fast_gemm,FAST + GEMM,64,128.601,128.60,iter_max_median,l01_fast,fast,20260829-134015_perlmutter_5f0fd9fb,l01_fast_trace-a2e8ab_b64_k8_e2e,fast-split,7b68b1329,
4,Qwen,comet,Comet,1,4.457,4.46,iter_max_median,l01_allgather_dense,flux,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b1_k8_isolated,main,fc8e47070,
4,Qwen,comet,Comet,2,4.901,4.90,iter_max_median,l01_allgather_dense,flux,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b2_k8_isolated,main,fc8e47070,
4,Qwen,comet,Comet,4,5.932,5.93,iter_max_median,l01_allgather_dense,flux,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b4_k8_isolated,main,fc8e47070,
